SAINT-JUST-IBARRE;-1.05;43.19
SAINT-MARTIN-D'ARROSSA;-1.32;43.24
SAINT-MARTIN-DE-SEIGNANX;-1.39;43.55
SAINT-PALAIS;-1.03;43.33
SAINT-PE-DE-BIGORRE;-0.16;43.1
SAINT-PEE-SUR-NIVELLE;-1.55;43.35
SAINT-PIERRE-D'IRUBE;-1.45;43.47
SAINT-SAVIN;-0.09;42.98
SALIES-DE-BEARN;-0.93;43.47
SALLESPISSE;-0.72;43.53
SANTESTEBAN;-1.67;43.13
SARE;-1.57;43.31
SARRANCE;-0.6;43.05
SAUBOLE;-0.12;43.32
SAUCEDE;-0.68;43.27
SAUGUIS;-0.88;43.15
SAULT-DE-NAVAILLES;-0.67;43.55
SAUVELADE;-0.7;43.39
SAUVETERRE-DE-BEARN;-0.94;43.4
SEDZERE;-0.17;43.35
SERON;-0.1;43.32
SEVIGNACQ;-0.26;43.44
SEVIGNACQ-MEYRACQ;-0.41;43.12
SIARROUY;0.03;43.32
SIMACOURBE;-0.17;43.45
SIREIX;-0.15;42.97
SOUMOULOU;-0.18;43.27
SOUMOULOU OUEST;-0.2;43.27
SOURAIDE;-1.48;43.34
SUD D'ANGAIS;-0.25;43.23
SUD DE CAMBO;-1.4;43.34
SUD DE SALIES;-0.92;43.46
SUSMIOU;-0.77;43.32
TARASTEIX;0;43.32
TARBES;0.08;43.23
TARDETS;-0.85;43.12
TELERIA;-1.18;43.4
THEZE;-0.35;43.48
THIOU;-0.72;43.47
TOSTAT;0.1;43.33
TROIS-VILLES;-0.87;43.13
TROUBETOT;-0.55;43.48
UHALT;-0.83;43.23
UHART-MIXE;-1.02;43.28
UNDUREIN;-0.88;43.28
URCURAY;-1.35;43.37
URDES;-0.58;43.45
UREPEL;-1.42;43.07
URRUGNE;-1.7;43.36
URT;-1.29;43.5
USTARITZ;-1.45;43.4
VALCARLOS;-1.3;43.1
VERA-DE-BIDASSOA;-1.69;43.28
VERDETS;-0.64;43.23
VIC-EN-BIGORRE;0.05;43.39
VIELLENAVE-DE-NAVARRENX;-0.79;43.35
VIELLENAVE-SUR-BIDOUZE;-1.05;43.42
VIELLESEGURE;-0.68;43.35
VIGER;-0.05;43.07
VILLEFRANQUE;-1.45;43.43
VIODOS;-0.88;43.24
VISKER;0.07;43.13
YANCI;-1.7;43.22
ZUGARRAMURDI;-1.54;43.27
